Date,Close,High,Low,Open,Volume,Symbol,Security,Sector
2021-08-06,84.62066650390625,85.1435839603077,84.33016032399422,84.67876773988866,6475600,CVX,Chevron Corporation,Energy
2021-08-09,83.20964050292969,84.14756235057266,82.94403392370404,83.75745763464778,9243100,CVX,Chevron Corporation,Energy
2021-08-10,84.72858428955078,84.92778764833757,83.48355221515222,83.6163523434899,9762600,CVX,Chevron Corporation,Energy
2021-08-11,85.3676986694336,85.46730351592561,84.33017193224417,84.69538337015426,7079800,CVX,Chevron Corporation,Energy
2021-08-12,85.19338989257812,85.69970341694895,84.47957103305731,85.37599560071978,7377600,CVX,Chevron Corporation,Energy
2021-08-13,84.62897491455078,85.11038881070093,84.36336833953007,84.85308422218218,6572600,CVX,Chevron Corporation,Energy
2021-08-16,83.76576232910156,83.99816731943615,82.92744523290337,83.69106343902018,9476600,CVX,Chevron Corporation,Energy
2021-08-17,83.6080551147461,84.39657288065965,82.69502654466454,83.16813847072476,10937500,CVX,Chevron Corporation,Energy
2021-08-18,81.34517669677734,83.63327376912753,81.2190000639126,83.0191927627306,12893600,CVX,Chevron Corporation,Energy
2021-08-19,79.31787872314453,80.17591212273305,78.11494532958557,79.75530613083046,17423400,CVX,Chevron Corporation,Energy
2021-08-20,79.32628631591797,79.81418434999559,78.40936198934196,78.67013562979186,9707600,CVX,Chevron Corporation,Energy
2021-08-23,81.37042236328125,81.59754673132157,80.80680556492773,80.832040892717,10277800,CVX,Chevron Corporation,Energy
2021-08-24,82.30416107177734,82.9518977647318,81.92561832140737,82.01815213468657,8924900,CVX,Chevron Corporation,Energy
2021-08-25,82.86776733398438,83.04442102289978,81.36199760320712,81.78260345813028,9342300,CVX,Chevron Corporation,Energy
2021-08-26,81.78260803222656,83.05283958216059,81.76578020304429,82.53128598242843,8124800,CVX,Chevron Corporation,Energy
2021-08-27,82.97713470458984,83.66692815102301,82.48082280366435,82.55652878803457,10281200,CVX,Chevron Corporation,Energy
2021-08-30,82.76683807373047,83.54075147905199,82.41353061711901,83.35568383474957,8127200,CVX,Chevron Corporation,Energy
2021-08-31,81.4040756225586,82.78366909192827,81.29472038214256,82.55653827683798,15676900,CVX,Chevron Corporation,Energy
2021-09-01,80.51238250732422,81.65643109574995,80.31049346758346,81.47977738373469,10557300,CVX,Chevron Corporation,Energy
2021-09-02,82.1948013305664,82.7668255912598,81.21899901405207,81.29470499279232,12340100,CVX,Chevron Corporation,Energy
2021-09-03,82.0097427368164,82.80048394187243,81.91720891844018,81.93403674974705,9097000,CVX,Chevron Corporation,Energy
2021-09-07,81.64801788330078,82.42193764185265,81.3788303553505,81.61436864006488,9237800,CVX,Chevron Corporation,Energy
2021-09-08,81.08441925048828,82.83414164470933,81.05077000237581,82.01816502731116,10775900,CVX,Chevron Corporation,Energy
2021-09-09,80.75634002685547,82.11910557526608,80.20955102433618,80.66380620713971,10219400,CVX,Chevron Corporation,Energy
2021-09-10,80.81522369384766,82.18639672469786,80.66380530128025,82.10227682170202,11006000,CVX,Chevron Corporation,Energy
2021-09-13,82.41352081298828,83.03601574600303,81.6480149967926,81.77419804998203,11500900,CVX,Chevron Corporation,Energy
2021-09-14,80.92459106445312,83.06127029431815,80.73952981727838,82.7584334637585,15294100,CVX,Chevron Corporation,Energy
2021-09-15,82.6406478881836,82.88460008757777,81.58913310696914,81.58913310696914,11623400,CVX,Chevron Corporation,Energy
2021-09-16,81.86674499511719,82.93508132525079,81.52185144020012,82.70795692742128,10616700,CVX,Chevron Corporation,Energy
2021-09-17,81.3956527709961,82.75841173273788,81.06758069369259,81.69007560730225,16006100,CVX,Chevron Corporation,Energy
2021-09-20,79.73005676269531,80.12542735235374,78.49347433731663,79.61228761912943,15796100,CVX,Chevron Corporation,Energy
2021-09-21,79.78892517089844,80.66378607297128,79.09913186206312,80.39459859679008,10958400,CVX,Chevron Corporation,Energy
2021-09-22,82.13592529296875,83.09490629755201,80.9582274083063,80.9582274083063,13292800,CVX,Chevron Corporation,Energy
2021-09-23,84.17166137695312,84.34831510730477,82.22846392514745,82.64065596263463,10094900,CVX,Chevron Corporation,Energy
2021-09-24,84.62592315673828,84.93717389704608,83.82677434997403,83.82677434997403,8225300,CVX,Chevron Corporation,Energy
2021-09-27,86.61957550048828,87.3009549687806,86.2999109258829,86.2999109258829,12697500,CVX,Chevron Corporation,Energy
2021-09-28,86.94766235351562,88.23471553151525,86.5438778182915,87.4103314649248,15560800,CVX,Chevron Corporation,Energy
2021-09-29,86.92243957519531,87.68793917614036,86.08963505440025,86.82149182232786,10268100,CVX,Chevron Corporation,Energy
2021-09-30,85.3409423828125,87.02336613737116,85.3409423828125,86.99813080792273,15319800,CVX,Chevron Corporation,Energy
2021-10-01,87.76362609863281,87.94027980137652,85.70265339741653,85.98866873848004,10854900,CVX,Chevron Corporation,Energy
2021-10-04,88.09170532226562,89.05068631090047,87.57856558403891,88.32724361169355,13305400,CVX,Chevron Corporation,Energy
2021-10-05,89.05068969726562,90.6574010429263,88.6805544181253,89.2021080916469,13017300,CVX,Chevron Corporation,Energy
2021-10-06,88.26835632324219,88.6216637465125,87.13272165248087,87.63744745971513,10630100,CVX,Chevron Corporation,Energy
2021-10-07,88.8992691040039,89.42082276462514,88.51231242080898,88.84038453086418,8830900,CVX,Chevron Corporation,Energy
2021-10-08,90.8929443359375,91.21260253332028,89.67318328420613,89.84983700522851,10586700,CVX,Chevron Corporation,Energy
2021-10-11,90.11903381347656,92.2220636866198,89.94238007428507,92.1631791068893,9794800,CVX,Chevron Corporation,Energy
2021-10-12,90.13585662841795,90.49757800317818,89.31146614014905,90.00125964341998,9085000,CVX,Chevron Corporation,Energy
2021-10-13,90.67424011230467,91.13690285063343,89.5722544720267,89.81620029848949,9220700,CVX,Chevron Corporation,Energy
2021-10-14,91.53225708007812,91.82668635464306,90.94341136682212,91.59114165140372,7648600,CVX,Chevron Corporation,Energy
2021-10-15,92.20523834228516,92.55854580561228,92.05381994115388,92.3398289111032,9968100,CVX,Chevron Corporation,Energy
2021-10-18,92.1631851196289,92.8782204574969,91.6584592007337,92.7183881229704,10677400,CVX,Chevron Corporation,Energy
2021-10-19,93.96336364746094,93.96336364746094,92.36506622310164,92.66790301081834,10362800,CVX,Chevron Corporation,Energy
2021-10-20,95.1915283203125,95.19993581721717,93.18944017191322,93.45021377056224,10811400,CVX,Chevron Corporation,Energy
2021-10-21,93.99701690673828,94.89711339257514,93.2651666534498,94.81299348526971,9372600,CVX,Chevron Corporation,Energy
2021-10-22,94.88870239257812,94.95599446517656,93.75306122308382,94.4007979631,8673800,CVX,Chevron Corporation,Energy
2021-10-25,95.77195739746094,96.19256327660476,95.30929478116455,95.50276989152634,9579800,CVX,Chevron Corporation,Energy
2021-10-26,95.9822769165039,96.40288286830098,95.48596497399336,95.8813355955526,7463000,CVX,Chevron Corporation,Energy
2021-10-27,94.2746124267578,95.54484412609168,93.92130498761183,95.24200734455596,9096100,CVX,Chevron Corporation,Energy
2021-10-28,95.15789031982422,95.284066967665,93.86242325251452,93.86242325251452,7538200,CVX,Chevron Corporation,Energy
2021-10-29,96.31033325195312,96.98330523164566,95.18311256659506,96.5963485896002,15294200,CVX,Chevron Corporation,Energy
2021-11-01,96.343994140625,96.8150707326006,95.94021603834229,96.76460007429957,11213800,CVX,Chevron Corporation,Energy
2021-11-02,95.75514221191406,96.05797897802212,95.2335885774087,96.04956506287,9189700,CVX,Chevron Corporation,Energy
2021-11-03,95.06536865234376,95.28407914851866,94.19050741382966,94.44286715970952,10416000,CVX,Chevron Corporation,Energy
2021-11-04,95.48594665527344,96.1168554619309,94.98122089353473,96.08320622209015,9673000,CVX,Chevron Corporation,Energy
2021-11-05,96.52063751220705,96.78141752731776,95.839258026462,96.12526695008064,8102100,CVX,Chevron Corporation,Energy
2021-11-08,96.86555480957033,97.57216974860263,96.4785980927758,96.81507772968396,7695900,CVX,Chevron Corporation,Energy
2021-11-09,97.58058166503906,97.68152940480525,96.28511455209208,96.96649414618552,10945900,CVX,Chevron Corporation,Energy
2021-11-10,96.02435302734376,97.75724772868134,95.61216093602272,97.37870488819404,10305100,CVX,Chevron Corporation,Energy
2021-11-11,96.03275299072266,96.46176643615456,95.53643463546452,95.56166996543844,7317500,CVX,Chevron Corporation,Energy
2021-11-12,96.09163665771484,96.1589287310297,95.55325514563437,95.7299152896558,8682800,CVX,Chevron Corporation,Energy
2021-11-15,98.27037811279295,98.37973335402204,96.12528510868712,96.69730948191948,11050400,CVX,Chevron Corporation,Energy
2021-11-16,98.6573257446289,99.33029779864891,98.30401830434012,98.51432126897924,10566300,CVX,Chevron Corporation,Energy
2021-11-17,98.21483612060548,99.15937372040575,97.56813072183918,97.74682614719148,11108000,CVX,Chevron Corporation,Energy
2021-11-18,97.38943481445312,98.18080402820064,96.5044687939376,97.72980985655892,8368600,CVX,Chevron Corporation,Energy
2021-11-19,95.22806549072266,96.2832222587979,94.53880425789788,95.73862479836464,13532600,CVX,Chevron Corporation,Energy
2021-11-22,96.92994689941406,98.01914196323472,95.1770175072202,95.3216748064838,9947100,CVX,Chevron Corporation,Energy
2021-11-23,98.96367645263672,99.423175330136,97.90851308888026,98.0191387193387,10366800,CVX,Chevron Corporation,Energy
2021-11-24,99.72100830078124,100.41026311417308,99.287029922072,99.397649061223,8500900,CVX,Chevron Corporation,Energy
2021-11-26,97.44048309326172,97.71278179443782,95.84072254325312,96.45339624392764,11861800,CVX,Chevron Corporation,Energy
2021-11-29,97.72981262207033,99.70398013161122,97.61068232777929,98.99770303537576,12003800,CVX,Chevron Corporation,Energy
2021-11-30,96.04495239257812,98.58924401560948,95.67905040060133,96.5384893300361,24451200,CVX,Chevron Corporation,Energy
2021-12-01,95.38973999023438,98.75943926027152,95.38122882888418,97.81490160593,12302700,CVX,Chevron Corporation,Energy
2021-12-02,97.97657012939452,98.45309123728664,95.24507193517616,96.36830489814552,11392400,CVX,Chevron Corporation,Energy
2021-12-03,97.35539245605467,99.55930908802831,96.65762012574407,99.3380643611521,10445100,CVX,Chevron Corporation,Energy
2021-12-06,98.87857818603516,99.94224622371677,97.90000878505968,98.67435574059236,9833900,CVX,Chevron Corporation,Energy
2021-12-07,100.34217071533205,100.971866769253,99.76353513385358,99.76353513385358,11419600,CVX,Chevron Corporation,Energy
2021-12-08,100.7931671142578,101.48242832472448,100.12093471780516,100.74211313278384,8827900,CVX,Chevron Corporation,Energy
2021-12-09,100.52938079833984,100.9208098094178,100.05285965304734,100.28260906463802,8334700,CVX,Chevron Corporation,Energy
2021-12-10,100.69956970214844,101.43137377588458,99.44870163817592,101.20162435371812,9090700,CVX,Chevron Corporation,Energy
2021-12-13,98.60626220703124,100.28260378039192,98.37651280754687,99.9507399299626,8533000,CVX,Chevron Corporation,Energy
2021-12-14,98.89559936523438,99.49125086259396,98.25739855001434,98.4871479869632,12245300,CVX,Chevron Corporation,Energy
2021-12-15,98.3339614868164,98.98067334535632,96.96395680217812,98.98067334535632,11069500,CVX,Chevron Corporation,Energy
2021-12-16,99.25296783447266,100.5719184847168,98.64029415157506,98.87005002871814,11344700,CVX,Chevron Corporation,Energy
2021-12-17,96.6661376953125,99.09981037596752,96.60657255244809,98.6403050629648,22727900,CVX,Chevron Corporation,Energy
2021-12-20,96.7086944580078,96.75974844379196,94.22396760409596,95.1855211250108,13464400,CVX,Chevron Corporation,Energy
2021-12-21,98.25740051269533,98.7679598766468,97.2532976170077,97.37242791885924,11368200,CVX,Chevron Corporation,Energy
2021-12-22,98.81900024414062,99.28701671698468,97.35539866712053,98.21483765599608,8345200,CVX,Chevron Corporation,Energy
2021-12-23,99.05728149414062,100.34218782703974,99.04877033192986,99.14237363990458,7416600,CVX,Chevron Corporation,Energy
