Symbol,Security,Sector,Weight
NTAP,NetApp,Information Technology,0.0004
NFLX,Netflix,Communication Services,0.0074
NEM,Newmont,Materials,0.0015
NWSA,News Corp (Class A),Communication Services,0.0002
NWS,News Corp (Class B),Communication Services,0.0001
NEE,NextEra Energy,Utilities,0.0029
NKE,"Nike, Inc.",Consumer Discretionary,0.0016
NI,NiSource,Utilities,0.0003
NDSN,Nordson Corporation,Industrials,0.0002
NSC,Norfolk Southern,Industrials,0.0011
NTRS,Northern Trust,Financials,0.0004
NOC,Northrop Grumman,Industrials,0.0014
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,0.0001
NRG,NRG Energy,Utilities,0.0005
NUE,Nucor,Materials,0.0006
NVDA,Nvidia,Information Technology,0.0731
NVR,"NVR, Inc.",Consumer Discretionary,0.0003
NXPI,NXP Semiconductors,Information Technology,0.0008
ORLY,O’Reilly Automotive,Consumer Discretionary,0.0014
OXY,Occidental Petroleum,Energy,0.0007
ODFL,Old Dominion,Industrials,0.0005
OMC,Omnicom Group,Communication Services,0.0002
ON,ON Semiconductor,Information Technology,0.0003
OKE,Oneok,Energy,0.0007
ORCL,Oracle Corporation,Information Technology,0.0095
OTIS,Otis Worldwide,Industrials,0.0006
PCAR,Paccar,Industrials,0.0009
PKG,Packaging Corporation of America,Materials,0.0003
PLTR,Palantir Technologies,Information Technology,0.0062
PANW,Palo Alto Networks,Information Technology,0.0021
PSKY,Paramount Skydance Corporation,Communication Services,0.0003
PH,Parker Hannifin,Industrials,0.0018
PAYX,Paychex,Industrials,0.0007
PAYC,Paycom,Industrials,0.0001
PYPL,PayPal,Financials,0.001
PNR,Pentair,Industrials,0.0003
PEP,PepsiCo,Consumer Staples,0.0034
PFE,Pfizer,Health Care,0.0024
PCG,PG&E Corporation,Utilities,0.0006
PM,Philip Morris International,Consumer Staples,0.0040999999999999
PSX,Phillips 66,Energy,0.0009
PNW,Pinnacle West Capital,Utilities,0.0002
PNC,PNC Financial Services,Financials,0.0012
POOL,Pool Corporation,Consumer Discretionary,0.0002
PPG,PPG Industries,Materials,0.0004
PPL,PPL Corporation,Utilities,0.0004
PFG,Principal Financial Group,Financials,0.0003
PG,Procter & Gamble,Consumer Staples,0.0059
PGR,Progressive Corporation,Financials,0.0022
PLD,Prologis,Real Estate,0.002
PRU,Prudential Financial,Financials,0.0006
PEG,Public Service Enterprise Group,Utilities,0.0007
PTC,PTC Inc.,Information Technology,0.0003
PSA,Public Storage,Real Estate,0.0008
PHM,PulteGroup,Consumer Discretionary,0.0004
PWR,Quanta Services,Industrials,0.0011
QCOM,Qualcomm,Information Technology,0.0029
DGX,Quest Diagnostics,Health Care,0.0004
Q,Qnity Electronics,Information Technology,0.0003
RL,Ralph Lauren Corporation,Consumer Discretionary,0.0003
RJF,Raymond James Financial,Financials,0.0005
RTX,RTX Corporation,Industrials,0.0038
O,Realty Income,Real Estate,0.0009
REG,Regency Centers,Real Estate,0.0002
REGN,Regeneron Pharmaceuticals,Health Care,0.0013
RF,Regions Financial Corporation,Financials,0.0004
RSG,Republic Services,Industrials,0.0011
RMD,ResMed,Health Care,0.0006
RVTY,Revvity,Health Care,0.0002
HOOD,Robinhood Markets,Financials,0.0016
ROK,Rockwell Automation,Industrials,0.0007
ROL,"Rollins, Inc.",Industrials,0.0005
ROP,Roper Technologies,Information Technology,0.0008
ROST,Ross Stores,Consumer Discretionary,0.001
RCL,Royal Caribbean Group,Consumer Discretionary,0.0012
SPGI,S&P Global,Financials,0.0025
CRM,Salesforce,Information Technology,0.0036
SBAC,SBA Communications,Real Estate,0.0003
SLB,Schlumberger,Energy,0.0009
STX,Seagate Technology,Information Technology,0.0009
SRE,Sempra,Utilities,0.001
NOW,ServiceNow,Information Technology,0.0028
SHW,Sherwin-Williams,Materials,0.0014
SPG,Simon Property Group,Real Estate,0.001
SWKS,Skyworks Solutions,Information Technology,0.0002
SJM,J.M. Smucker Company (The),Consumer Staples,0.0002
SW,Smurfit Westrock,Materials,0.0003
SNA,Snap-on,Industrials,0.0003
SOLS,Solstice Advanced Materials,Materials,0.0001
SOLV,Solventum,Health Care,0.0002
SO,Southern Company,Utilities,0.0017
LUV,Southwest Airlines,Industrials,0.0003
SWK,Stanley Black & Decker,Industrials,0.0002
SBUX,Starbucks,Consumer Discretionary,0.0016
STT,State Street Corporation,Financials,0.0005
STLD,Steel Dynamics,Materials,0.0004
STE,Steris,Health Care,0.0004
SYK,Stryker Corporation,Health Care,0.0024
SMCI,Supermicro,Information Technology,0.0003
SYF,Synchrony Financial,Financials,0.0005
SNPS,Synopsys,Information Technology,0.0012
SYY,Sysco,Consumer Staples,0.0006
TMUS,T-Mobile US,Communication Services,0.0039
TROW,T. Rowe Price,Financials,0.0004
TTWO,Take-Two Interactive,Communication Services,0.0007
TPR,"Tapestry, Inc.",Consumer Discretionary,0.0004
TRGP,Targa Resources,Energy,0.0006
TGT,Target Corporation,Consumer Staples,0.0007
TEL,TE Connectivity,Information Technology,0.0011
TDY,Teledyne Technologies,Information Technology,0.0004
TER,Teradyne,Information Technology,0.0004
TSLA,"Tesla, Inc.",Consumer Discretionary,0.0219
TXN,Texas Instruments,Information Technology,0.0024
TPL,Texas Pacific Land Corporation,Energy,0.0003
TXT,Textron,Industrials,0.0002
TMO,Thermo Fisher Scientific,Health Care,0.0037
TJX,TJX Companies,Consumer Discretionary,0.0028
TKO,TKO Group Holdings,Communication Services,0.0002
TTD,Trade Desk (The),Communication Services,0.0003
TSCO,Tractor Supply,Consumer Discretionary,0.0005
TT,Trane Technologies,Industrials,0.0015
TDG,TransDigm Group,Industrials,0.0013
TRV,Travelers Companies (The),Financials,0.0011
TRMB,Trimble Inc.,Information Technology,0.0003
TFC,Truist Financial,Financials,0.001
TYL,Tyler Technologies,Information Technology,0.0003
TSN,Tyson Foods,Consumer Staples,0.0003
USB,U.S. Bancorp,Financials,0.0012
UBER,Uber,Industrials,0.0029
UDR,"UDR, Inc.",Real Estate,0.0002
ULTA,Ulta Beauty,Consumer Discretionary,0.0004
UNP,Union Pacific Corporation,Industrials,0.0023
UAL,United Airlines Holdings,Industrials,0.0005
UPS,United Parcel Service,Industrials,0.0013
URI,United Rentals,Industrials,0.0009
UNH,UnitedHealth Group,Health Care,0.0049
UHS,Universal Health Services,Health Care,0.0002
VLO,Valero Energy,Energy,0.0009
VTR,Ventas,Real Estate,0.0006
VLTO,Veralto,Industrials,0.0004
VRSN,Verisign,Information Technology,0.0004
VRSK,Verisk Analytics,Industrials,0.0005
VZ,Verizon,Communication Services,0.0029
VRTX,Vertex Pharmaceuticals,Health Care,0.0018
VTRS,Viatris,Health Care,0.0002
VICI,Vici Properties,Real Estate,0.0005
V,Visa Inc.,Financials,0.0106
VST,Vistra Corp.,Utilities,0.001
VMC,Vulcan Materials Company,Materials,0.0006
WRB,W. R. Berkley Corporation,Financials,0.0005
GWW,W. W. Grainger,Industrials,0.0008
WAB,Wabtec,Industrials,0.0006
WMT,Walmart,Consumer Staples,0.0141
DIS,Walt Disney Company (The),Communication Services,0.0031
WBD,Warner Bros. Discovery,Communication Services,0.001
WM,Waste Management,Industrials,0.0015
WAT,Waters Corporation,Health Care,0.0004
WEC,WEC Energy Group,Utilities,0.0006
WFC,Wells Fargo,Financials,0.0044
WELL,Welltower,Real Estate,0.0023
WST,West Pharmaceutical Services,Health Care,0.0003
WDC,Western Digital,Information Technology,0.0008
WY,Weyerhaeuser,Real Estate,0.0003
WSM,"Williams-Sonoma, Inc.",Consumer Discretionary,0.0004
WMB,Williams Companies,Energy,0.0012
WTW,Willis Towers Watson,Financials,0.0005
WDAY,"Workday, Inc.",Information Technology,0.001
WYNN,Wynn Resorts,Consumer Discretionary,0.0002
XEL,Xcel Energy,Utilities,0.0008
XYL,Xylem Inc.,Industrials,0.0006
YUM,Yum! Brands,Consumer Discretionary,0.0007
ZBRA,Zebra Technologies,Information Technology,0.0002
ZBH,Zimmer Biomet,Health Care,0.0003
ZTS,Zoetis,Health Care,0.0009
