#,Company,Symbol,Weight,Price,Chg,% Chg
119,3M,MMM,0.0015,168.09,3.48,-0.021099999999999997
120,Marsh McLennan,MMC,0.0015,180.92,1.97,-0.011000000000000001
121,Intercontinental Exchange,ICE,0.0015,154.43,2.77,-0.0183
122,Waste Management,WM,0.0015,216.62,-0.18,-0.0008
123,Moody's Corporation,MCO,0.0014000000000000002,479.65,5.13,-0.0108
124,O'Reilly Auto Parts,ORLY,0.0014000000000000002,100.43,1.42,-0.0143
125,American Tower,AMT,0.0014000000000000002,179.56,0.44,-0.0025
126,Sherwin-Williams,SHW,0.0014000000000000002,337.06,9.05,-0.0276
127,Dell Technologies,DELL,0.0014000000000000002,122.51,5.11,-0.0435
128,Cadence Design Systems,CDNS,0.0014000000000000002,300.58,-1.56,-0.0052
129,DoorDash,DASH,0.0014000000000000002,189.63,1.9,-0.0101
130,Northrop Grumman,NOC,0.0014000000000000002,566.7,-0.65,-0.0011
131,United Parcel Service,UPS,0.0013,94.66,3.79,-0.0417
132,Regeneron Pharmaceuticals,REGN,0.0013,755.9,18.9,-0.0256
133,Howmet Aerospace,HWM,0.0013,197.28,-0.64,-0.0032
134,Marriott International,MAR,0.0013,295.84,13.46,-0.04769999999999999
135,TransDigm Group,TDG,0.0013,1347.22,19.35,-0.0146
136,Ecolab,ECL,0.0013,267.07,5.33,-0.0204
137,Apollo Global Management,APO,0.0013,130.02,3.26,-0.025699999999999997
138,Cintas,CTAS,0.0013,185.8,2.6,-0.014199999999999999
139,Aon,AON,0.0013,346.51,0.62,-0.0018
140,Cigna,CI,0.0012,278.09,8.49,-0.0315
141,U.S. Bancorp,USB,0.0012,47.78,1.29,-0.0277
142,BNY Mellon,BK,0.0012,106.43,-0.03,-0.0003
143,Equinix,EQIX,0.0012,754.68,1.87,-0.0025
144,Mondelez International,MDLZ,0.0012,57.0,1.25,-0.022400000000000003
145,PNC Financial Services,PNC,0.0012,186.99,3.45,-0.018799999999999997
